Statistische Kennziffer und Zulassungsbezirk;Benzin;Diesel;"Gas(einschl.bivalent)";"Hybrid insgesamt";"darunterPlug-in-Hybrid";Elektro (BEV);sonstige
07319  WORMS,STADT;32.053;12.878;283;969;254;232;6
07320  ZWEIBRUECKEN,STADT;14.407;6.254;120;555;106;102;17
07331  ALZEY-WORMS;56.008;28.357;671;1.276;360;508;16
07332  BAD DUERKHEIM;61.817;27.255;757;1.372;397;582;10
07333  DONNERSBERGKREIS;32.250;17.108;438;673;132;242;18
07334  GERMERSHEIM;53.769;27.318;580;1.745;550;373;11
07335  KAISERSLAUTERN;46.347;20.896;443;1.268;200;319;12
07336  KUSEL;31.768;14.915;280;667;102;152;15
07337  SUEDLICHE WEINSTRASSE;51.357;24.137;448;1.180;299;463;21
07338  RHEIN-PFALZ-KREIS;71.989;27.915;758;1.571;375;504;15
07339  MAINZ-BINGEN;92.357;46.024;1.146;2.379;653;963;28
07340  SUEDWESTPFALZ;44.536;21.353;436;1.097;215;254;237
;843.183;382.362;9.006;23.263;6.087;7.093;445
;1.679.049;832.339;18.926;44.452;11.906;13.564;30
10041  SAARBRUECKEN,STADTVERB.;130.737;56.102;771;4.408;923;875;6
10042  MERZIG-WADERN;44.918;25.721;246;1.270;229;286;26
10043  NEUNKIRCHEN;60.271;24.171;432;1.678;308;359;37
10044  SAARLOUIS;91.762;39.029;522;2.374;462;681;31
10045  SAAR-PFALZ-KREIS;66.116;29.515;533;1.897;415;483;13
10046  SANKT WENDEL;41.064;19.459;335;1.017;192;257;143
;434.868;193.997;2.839;12.644;2.529;2.941;53
14511  CHEMNITZ, STADT;89.071;33.448;745;2.554;527;584;60
14521  ERZGEBIRGSKREIS;143.671;55.290;1.002;2.562;487;459;69
14522  MITTELSACHSEN;124.268;51.872;1.338;2.295;425;445;42
14523  VOGTLANDKREIS;97.193;37.151;692;2.104;367;382;70
14524  ZWICKAU;133.377;48.221;1.101;2.775;534;900;294
;587.580;225.982;4.878;12.290;2.340;2.770;101
14612  DRESDEN, STADT;157.714;64.805;1.715;6.058;1.270;1.189;84
14625  BAUTZEN;127.094;50.286;1.286;2.599;529;486;76
14626  GOERLITZ;106.281;34.862;997;1.606;307;286;68
14627  MEISSEN;95.511;39.769;923;2.226;337;443;63
14628  SAECHS.SCHWEIZ-OSTERZGEB.;100.721;39.244;991;2.542;450;497;392
;587.321;228.966;5.912;15.031;2.893;2.901;101
